id,date,receiver_deliverer,details,amount,currency,debit_credit
1,2020-01-01,,Opening balance,10000.0,EUR,K
2,2020-01-01,Maarja,Transaction with Maarja,810.33,EUR,D
3,2020-01-01,Home Decor\Tapa,'5555******4444 01.01.20  Home Decor\Tapa,169.24,EUR,D
4,2020-01-01,Reserved\Lohusuu,'5555******4444 01.01.20  Reserved\Lohusuu,350.3,EUR,D
5,2020-01-02,Säästumarket\Võsu,'5555******4444 02.01.20  Säästumarket\Võsu,471.94,EUR,D
6,2020-01-02,Coop\Lihula,'5555******4444 02.01.20  Coop\Lihula,52.51,EUR,D
7,2020-01-02,Jüri,Salary from Jüri,2139.43,EUR,K
8,2020-01-02,Arsenal\Kilingi-Nõmme,'5555******4444 02.01.20  Arsenal\Kilingi-Nõmme,116.37,EUR,D
9,2020-01-03,Terminal Oil\Põlva,'5555******4444 03.01.20  Terminal Oil\Põlva,60.99,EUR,D
10,2020-01-03,Viimistlusmarket\Lihula,'5555******4444 03.01.20  Viimistlusmarket\Lihula,105.54,EUR,D
11,2020-01-03,Kurepesa\Võhma,'5555******4444 03.01.20  Kurepesa\Võhma,275.41,EUR,D
12,2020-01-03,Automaailm\Jõgeva,'5555******4444 03.01.20  Automaailm\Jõgeva,133.65,EUR,D
13,2020-01-03,Kalev,Transaction with Kalev,412.93,EUR,D
14,2020-01-04,Home4You\Elva,'5555******4444 04.01.20  Home4You\Elva,289.05,EUR,D
15,2020-01-04,Viimistlusmarket\Paide,'5555******4444 04.01.20  Viimistlusmarket\Paide,50.42,EUR,D
16,2020-01-05,Statoil\Haapsalu,'5555******4444 05.01.20  Statoil\Haapsalu,31.83,EUR,D
17,2020-01-05,Jetoil\Kohtla-Järve,'5555******4444 05.01.20  Jetoil\Kohtla-Järve,52.35,EUR,D
18,2020-01-06,Neste\Haapsalu,'5555******4444 06.01.20  Neste\Haapsalu,50.75,EUR,D
19,2020-01-07,Statoil\Muhu,'5555******4444 07.01.20  Statoil\Muhu,50.85,EUR,D
20,2020-01-07,Apotheka\Kuressaare,'5555******4444 07.01.20  Apotheka\Kuressaare,489.49,EUR,D
21,2020-01-08,Rimi e-pood\Põltsamaa,'5555******4444 08.01.20  Rimi e-pood\Põltsamaa,269.66,EUR,D
22,2020-01-08,Bauhof e-pood\Elva,'5555******4444 08.01.20  Bauhof e-pood\Elva,346.22,EUR,D
23,2020-01-08,Kidzone\Türi,'5555******4444 08.01.20  Kidzone\Türi,352.21,EUR,D
24,2020-01-08,Grossi Toidukaubad\Püssi,'5555******4444 08.01.20  Grossi Toidukaubad\Püssi,492.77,EUR,D
25,2020-01-09,Neste\Kärdla,'5555******4444 09.01.20  Neste\Kärdla,87.74,EUR,D
